,Unnamed: 0,video_file,start_tone,middle_tone,end_tone,Transition_val,social_message,Topic,Split,clip_feature_path,Link,Transcript
0,0,toyota_esperas.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/toyota_esperas.pkl,https://player.vimeo.com/video/273606639,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/toyota_esperas.txt
1,1,renault_real_life_doubles_lunch_with_the_inlaws.mp4,positive,negative,positive,Transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_real_life_doubles_lunch_with_the_inlaws.pkl,https://www.youtube.com/embed/jnQGta5e8Do,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/renault_real_life_doubles_lunch_with_the_inlaws.txt
2,2,brawny_once_a_mother_always_a_giant.webm,positive,neutral,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/brawny_once_a_mother_always_a_giant.pkl,https://www.youtube.com/embed/RkB_3E7nzro,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/brawny_once_a_mother_always_a_giant.txt
3,3,renault_wake_up_your_passion.mkv,neutral,neutral,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_wake_up_your_passion.pkl,https://www.youtube.com/embed/XWKxfg3Fsrg,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/renault_wake_up_your_passion.txt
4,4,west_elm_get_house_proud.webm,positive,positive,positive,No transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/west_elm_get_house_proud.pkl,https://www.youtube.com/embed/KvNzvzdTVz4,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/west_elm_get_house_proud.txt
5,5,volkswagen_barbecue.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_barbecue.pkl,https://player.vimeo.com/video/117566812,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/volkswagen_barbecue.txt
6,6,suzuki_dodgems.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/suzuki_dodgems.pkl,https://www.youtube.com/embed/XiBdWr7p9OQ,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/suzuki_dodgems.txt
7,7,otokoc_otomotiv_23rd_april.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/otokoc_otomotiv_23rd_april.pkl,https://www.youtube.com/embed/7Xb945UWMUE/l/PLn8ef9WN6E20BgcbuwI2Gabit33M_TR5y,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/otokoc_otomotiv_23rd_april.txt
8,8,renault_playful_chassis.webm,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_playful_chassis.pkl,https://www.youtube.com/embed/j13CxDW6AXU,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/renault_playful_chassis.txt
9,9,ford_be_a_good_neighbor.webm,negative,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ford_be_a_good_neighbor.pkl,https://www.youtube.com/embed/l1q0ivrhPto,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/ford_be_a_good_neighbor.txt
10,10,volvo_a_new_beginning.mkv,negative,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volvo_a_new_beginning.pkl,https://www.youtube.com/embed/6E9c7R01OKc,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/volvo_a_new_beginning.txt
11,11,kia_brent.mkv,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kia_brent.pkl,https://www.youtube.com/embed/tOFqzxydidY,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/kia_brent.txt
12,12,mobil1_porsche_bull.mp4,neutral,neutral,neutral,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mobil1_porsche_bull.pkl,https://player.vimeo.com/video/108874863,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/mobil1_porsche_bull.txt
13,13,nissan_stories_by_the_million_fog.mp4,negative,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/nissan_stories_by_the_million_fog.pkl,https://player.vimeo.com/video/144336283,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/nissan_stories_by_the_million_fog.txt
14,14,dacia_the_lawn_mower.mkv,positive,negative,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/dacia_the_lawn_mower.pkl,https://www.youtube.com/embed/Js6xPwd107Q,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/dacia_the_lawn_mower.txt
15,15,eon_lets_renew_sweden.mkv,neutral,neutral,positive,Transition,Yes,Industrial and agriculture,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/eon_lets_renew_sweden.pkl,https://www.youtube.com/embed/j0QMyEFXIvw,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/eon_lets_renew_sweden.txt
16,16,midas_project_spark_hands.mp4,negative,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/midas_project_spark_hands.pkl,https://www.youtube.com/embed/TdyaiARdSVo,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/midas_project_spark_hands.txt
17,17,whiskas_iris_and_thula.mkv,negative,negative,positive,Transition,No,Misc,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/whiskas_iris_and_thula.pkl,https://www.youtube.com/embed/tXO3ldXcxZE,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/whiskas_iris_and_thula.txt
18,18,midas_project_spark_anthem.webm,negative,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/midas_project_spark_anthem.pkl,https://www.youtube.com/embed/ET44KgYlfFc,/data/digbose92/ads_complete_repo/ads_transcripts/whisper/jwt_ads_of_the_world/midas_project_spark_anthem.txt
